Run,Points Evaluated,Binding ddG,Folding ddG
0,11,-0.1880950053146648,16.248841525671576
0,61,-0.37470249509637404,18.887103464722184
0,98,-0.1222043595363781,16.472405822603882
0,93,-0.0037519242317216317,17.947622082222374
0,8,-0.4146408472088946,23.644622158121113
0,7,-0.21099848468482676,17.487361249024943
0,12,0.30721235171525524,17.856618026165833
0,10,-0.1877118732987972,17.957377881497806
0,60,0.1340552659060969,21.395998258888238
0,97,-0.3240363001420649,24.049888182235765
0,9,-0.09169019869216295,22.677276855966813
0,99,-0.2844172313813639,11.902148261937478
0,100,-0.2192598140333757,23.2347827140216
0,62,-1.690512589995056,18.53959548946356
0,63,-0.14344282538805983,22.570845446196373
0,6,-0.030298856331739885,23.59211735909316
0,1,2.0188716344125055,21.98227012291737
0,103,-0.383172983132876,24.255639783659262
0,105,0.11114558852265577,19.08560784614436
0,66,-0.21339556997016493,22.966893833013778
1,71,0.006724092191007024,21.08925037477613
1,48,-0.31061141286363636,29.328162650051507
1,60,0.24362605188609146,21.22312169509256
1,117,-0.28604214139295436,16.96229025900195
1,75,-0.19949733822517143,15.433699092057951
1,76,-0.14071961414739625,18.254675428532387
1,111,0.2369915708355469,37.02236028555962
1,80,0.10017889070578741,15.118750911317724
1,84,0.08841423745349987,8.889342589249079
1,88,-0.09331287994689319,22.94162388386586
1,82,0.13560348917618673,9.11659865969025
1,1,2.279652303871444,22.087396304902818
1,31,-0.08735248243380865,14.163281215207563
1,26,0.10231584612855237,28.066918891077066
1,35,-1.7236719926941835,18.18980288009925
1,83,-0.09501448841482278,16.40799044489927
1,85,-0.053920989636753805,11.801852446651992
1,39,0.024249633462602553,20.14969654721535
1,33,0.1020502903561464,12.815341470960346
1,12,0.13881472298335212,16.99864107347844
2,26,-0.025204263088198786,23.75902029240658
2,101,-0.40419655776114866,14.933016449639329
2,30,-0.21895980440189078,15.431878360336263
2,58,0.10135594668292919,15.502198448304878
2,3,1.037844131519023,16.78612722036938
2,100,-0.08890585434426154,27.897591709426226
2,108,-0.1053739673346285,21.19067451830468
2,40,0.1444821651088546,17.062257571221455
2,119,-0.13612771955718017,14.528676180398557
2,88,0.20683186785033417,23.651828621871623
2,104,-0.24975142718045615,14.4066710512321
2,72,3.236965022774922e-05,20.059004697517974
2,114,-0.24891268919941464,13.063283887319711
2,49,-0.39558733284138725,52.23857792062558
2,52,0.9726862103119857,21.32988275486898
2,102,-0.33734420928489534,18.013491757121553
2,47,0.4103683595779633,31.087977118864174
2,116,-0.22736693831819818,15.588797053598405
2,112,0.9523130695889677,15.91672276001019
2,33,-0.20998706090923794,11.051041706407785
3,85,-0.1836955727987645,10.825025172914593
3,6,0.005576099476741099,29.49382722932599
3,7,-0.27517454662887525,15.705511383914477
3,44,-0.14114708456389732,22.454584976558206
3,103,-0.35763630376269856,27.71731308269773
3,102,-0.4147001868020652,16.183591895254015
3,101,-0.27278486704705884,16.120573363138973
3,104,-0.24211097065915507,13.926273124752722
3,9,1.0000649255779688,22.72666799464312
3,99,-0.3545659856686143,14.129127331661063
3,97,0.1896381902279245,24.36497588936267
3,106,-0.40593782597339406,15.145645639957062
3,108,-0.09482554690286327,23.301174059752334
3,82,0.17916136997024523,11.836483071981243
3,105,-0.06349559930933016,17.775437326456135
3,100,0.15877896736414449,23.266954689456878
3,107,-0.20323792827696247,11.345830511400209
3,87,-0.019022352797557155,14.374770626711577
3,42,-0.13452431044197508,22.028135175471714
3,46,-0.2851718647103212,16.14023574996554
4,14,0.11975176697649204,11.176488486152165
4,3,-0.31875815717108935,15.973012412167463
4,27,-0.12993959462520857,22.25694412780659
4,17,-0.11873484088872437,10.85843402840045
4,20,-0.2910737371489631,26.755548963099905
4,18,0.02417661628825433,10.131993523403708
4,16,-0.08018587528340504,15.524988871404098
4,13,-0.20192413507146512,20.127508869823057
4,15,-0.0084633769495781,15.881110070307159
4,1,2.0702878422650883,20.089118121455257
4,5,0.018605381011769062,17.491643884926134
4,8,0.6490440604086416,24.126423797872754
4,60,0.12934952188821364,20.91015100635819
4,97,-0.13438498450038117,22.85590120174604
4,119,-0.15747505051149344,17.669309193040743
4,117,-0.18764236578863347,22.53967455042703
4,78,-0.3252719422879409,11.348128862454208
4,79,-0.012363987151426654,33.14939945789648
4,77,-0.09214410497787637,6.092025912702234
4,76,-0.28334881288282077,19.346620933861736
