Run,Points Evaluated,Binding ddG,Folding ddG
0,11,-0.1880950053146648,16.248841525671576
0,61,-0.37470249509637404,18.887103464722184
0,98,-0.1222043595363781,16.472405822603882
0,93,-0.0037519242317216317,17.947622082222374
0,8,-0.4146408472088946,23.644622158121113
0,10,-0.24416986811508776,17.33489587089894
0,12,0.09955323617816703,15.550612310913039
0,13,-0.19918459013172193,18.1673024418602
0,97,-0.3256354887867019,23.320333620650874
0,99,-0.2849035335628806,17.608654691846976
0,100,0.08967434103063472,24.72886381605268
0,92,-0.1549226748480237,21.561188285302606
0,94,-0.12059430831063113,27.018144993328356
0,14,-0.09154845485238637,12.713996942288102
0,15,-0.18718443634673215,15.465402814400855
0,16,-0.16142319033554028,16.46115008890216
0,17,-0.11631856470655422,12.671620618424791
0,18,-0.10155989566726473,10.888270611410967
0,19,-0.119776343477497,16.084391279700032
0,20,-0.23282135781859584,24.80343651352195
1,71,-0.09619692333145782,19.471115563454735
1,48,0.06600352093510084,29.94979401121236
1,60,0.2945289027804089,22.910970844210624
1,117,-0.02852047913605324,19.528531968666154
1,75,0.2759942679220634,16.80167801805237
1,74,0.6986067764408593,21.493270418313767
1,76,-0.2509430428802375,19.35970443539668
1,77,-0.06473598297498029,10.232902915764775
1,78,-0.29663324340776853,13.1818954556821
1,79,-0.055531941794405196,35.06580813662587
1,70,-0.46631776773489264,29.60997411096817
1,72,-0.10064077816021681,23.203044857613854
1,116,0.06621827898296334,16.826930209357343
1,115,-0.23885011859391622,18.808969424616762
1,114,-0.2211294392154741,13.954602636390746
1,113,0.5748532974669616,44.39198568968651
1,118,-0.2177271178142632,20.234873047106298
1,119,-0.1585374170052773,13.851333581313359
1,1,2.242991510870297,21.48659717073201
1,3,-0.38722772077062473,16.869657256237765
2,26,0.017532393571075642,23.78048070037246
2,101,-0.30037110053280003,15.867117595102046
2,30,-0.1653340084079673,16.883150696339825
2,58,0.04241153269172824,13.99545785362304
2,3,-0.3351598571070359,18.186031932200926
2,57,-0.1414100202528061,17.509668588312454
2,59,-0.7307402633399371,16.93360265662232
2,100,1.2463112828290832,28.36406158349741
2,102,-0.26390677942396223,17.820477631652945
2,60,0.15966550680039807,19.24751171495513
2,29,-0.1727077861460202,27.497531747642725
2,31,-0.1961339649840283,16.321203685886857
2,32,-0.08185680417091133,12.955901065194439
2,33,-0.21534204502654572,12.323158466619539
2,34,-0.0034372453458542712,26.75054248147353
2,56,1.0715993202424217,20.126825623689758
2,103,-0.3071901456789874,21.976659449685208
2,2,0.004149010817684462,20.908200310452358
2,4,-0.01569250494958398,26.233097178188196
2,61,-0.7283104657600082,19.331754782031492
3,85,-0.23125053681815186,12.540162502667398
3,6,-0.06244722409701352,22.461030525220167
3,7,-0.27757549805638904,16.142928188573453
3,44,-0.14824182215131385,17.97526983895836
3,103,-0.38293253286883555,29.06488218782422
3,84,0.04874507469651237,9.575890340008048
3,83,-0.16022721662674094,16.48205183251308
3,86,-0.19709774755786683,22.166224211483723
3,8,-0.2837047819214149,22.81854999280899
3,82,0.1357506451672634,11.885497359192364
3,81,-0.3298331843481416,16.703690939945318
3,80,-0.11162981614461387,15.443728651580967
3,79,-0.06083938323964893,36.357169028511734
3,43,-0.12023798273665821,21.07630885562647
3,45,-0.08251521971442342,24.252562766775807
3,1,2.145412776628916,17.520397748311122
3,3,-0.3620095539887416,18.47515724852724
3,4,-0.015515345529252052,25.47411296572697
3,2,0.13376294895260796,18.23400764772613
3,10,-0.178560989410073,21.3461361329431
4,14,0.16217928395455297,18.17359186059927
4,3,-0.3663779190873356,15.254343461486794
4,27,-0.058931913398542445,22.82471975636905
4,17,-0.1179974041165792,8.5622644486751
4,20,0.20374144258592727,24.633736043008312
4,16,-0.16566377056699363,13.938495390171031
4,18,0.3573686042593067,12.93918269612282
4,2,0.0878877441909935,17.513322530525176
4,4,-0.09307669465988508,24.66225975818126
4,15,-0.10828556371656561,12.947325468244268
4,6,-0.08958845752727024,29.69174094233012
4,1,2.0431340397660733,19.66806965760745
4,13,-0.20687646310733496,22.66057797467925
4,8,-0.2596565776232751,22.723496872980427
4,19,-0.06413468855280369,16.413227870541302
4,10,-0.2130134424839411,20.487636573852697
4,23,-0.01302916431641279,15.526777742793582
4,24,0.3047294172379793,35.13181539015719
4,29,-0.3093508717792588,24.646776706777676
4,31,0.013437880764665061,15.639662630209058
